user_ticket,ticket_owner,text,ts,thread_ts,latest_reply,t_revisado,t_resuelto,t_finalizado,nuevo_req,ticket_ops,ticket_tech,urgente,Duracion_Ticket_horas
istuardo,jmansilla,:rotating_light: :robot_face: *WOM-GEO*: BOT no envío _custom_13_ en el payload al cliente. _Custom_13_ indica la compañía actual del cliente a portar (Ref. FAQ 2391),2022-01-17 13:42:20,2022-01-17 13:42:20,2022-01-17 15:50:18,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2.13
istuardo,istuardo,:rotating_light: :dart: *PY:* Proyectos con múltiples zonas no se muestran. Revisar API y Parser,2022-01-17 14:16:06,2022-01-17 14:16:06,2022-01-20 14:03:45,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,71.79
istuardo,istuardo,:rotating_light: :dart: *PY:* En algunos casos no se envía la cotización final. Revisar antes de la reunión de las 13:00 CL,2022-01-17 14:16:46,2022-01-17 14:16:46,2022-01-17 18:06:13,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,3.82
paula,,":rotating_light: :dart:Ajustar base de datos de los usuarios en la parte de los formularios para que estos puedan recibir sus formularios. Porfa incluir también los números de las chicas de salud mental.
 181967, 178995, 184973",2022-01-17 14:51:17,2022-01-17 14:51:17,2022-01-25 13:48:01,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,190.95
paula,jmansilla,:rotating_light: :robot_face:Enviar hoy a las 3:00 pm chile el  mensaje de expectativa a la lista de usuarios de SII Group. El template ya se encuentra aprobado en Twilio.,2022-01-17 14:54:56,2022-01-17 14:54:56,2022-01-17 19:01:33,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4.11
andresg,juan,":writing_hand::robot_face: Integrar Mixpanel/Hotjar/Heap/Google Analytics en la nueva plataforma, a continuación dejo documento con los códigos para cada implementación, de necesitar alguna otra información o acceso a las respectivas plataformas enviarme un mensaje y lo solucionamos rapido. Muchas gracias team<https://docs.google.com/document/d/1hCUkd-8VB5mVa7-P-_8Hlo6PBlVuMW3xOblw2y8OAY8/edit?usp=sharing>",2022-01-18 5:22:00,2022-01-18 5:22:00,2022-01-24 20:41:39,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,159.33
istuardo,istuardo,:rotating_light: :dart: :robot_face: _*IFRAME*_ : Terminar y probar iframe con nuevo motor.,2022-01-18 13:09:05,2022-01-18 13:09:05,2022-01-31 14:43:15,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,313.57
andresg,jmansilla,":writing_hand::robot_face: Probar en la plataforma si es posible integrar los dashboard de Metabase, les dejo los links de incrustación:
• Link Publico: <http://ec2-52-87-221-38.compute-1.amazonaws.com/public/dashboard/f8027f5c-8cc2-424e-adc7-178b3b91324b>
• Incrustación Publica: 
&lt;iframe
    src=""<http://ec2-52-87-221-38.compute-1.amazonaws.com/public/dashboard/f8027f5c-8cc2-424e-adc7-178b3b91324b>""
    frameborder=""0""
    width=""800""
    height=""600""
    allowtransparency
&gt;&lt;/iframe&gt;",2022-01-18 15:25:03,2022-01-18 15:25:03,2022-01-25 14:29:36,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,167.08
jmansilla,juan,:writing_hand: :robot_face: Nuevo requerimiento Wizard acepto de términos y condiciones,2022-01-18 16:14:55,2022-01-18 16:14:55,2022-01-25 14:29:36,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,166.24
david,nsanhueza,":rotating_light::robot_face: *Kriator*:  Al conectar las faqs en la App no se ve reflejado a la primera en el bot, hay que re conectar y reiniciar la conversación para que se conecten (Wiu wiu urgente)",2022-01-19 14:28:42,2022-01-19 14:28:42,2022-02-07 15:49:05,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,457.34
david,andresg,:rotating_light: :dart: Base de datos PY: Exportar en un excel la base de datos de todas las variables que se recopilan en el bot por usuario.,2022-01-19 14:38:22,2022-01-19 14:38:22,2022-01-24 14:30:28,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,119.87
david,istuardo,:rotating_light: :dart: Agregar el bot de delivery a la url <http://www.olivadelivery.cl|www.olivadelivery.cl>,2022-01-19 15:31:28,2022-01-19 15:31:28,2022-02-03 15:14:13,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,359.71
